相对路径,文件,通道,采样率,时长(秒),故障类别,外圈方位,采样点位,尺寸(inch),载荷,RPM,均值,标准差,RMS,峭度,偏度,峰值,峰值因子
12kHz_DE_data\B\0021\B021_0.mat,B021_0.mat,DE,12000.0,3.0,滚动体,,,0.021,0.0,1796,-0.006613091444334204,0.12278891796829214,0.1229668709623657,0.8403604253283721,0.020473051270325376,0.8812651291156569,7.166687435556282
12kHz_DE_data\B\0021\B021_0.mat,B021_0.mat,FE,12000.0,3.0,滚动体,,,0.021,0.0,1796,0.0006436029184501027,0.09370185635161105,0.09370406665910816,-0.09686051726527545,-0.012008661263988446,0.5240168227164298,5.592252731386601
12kHz_DE_data\B\0021\B021_0.mat,B021_0.mat,BA,12000.0,3.0,滚动体,,,0.021,0.0,1796,-0.00018952324258536503,0.04164376446416825,0.04164419572769538,-0.059271047845382174,-0.020693466981804312,0.16425612781231833,3.94427422458492
12kHz_DE_data\B\0021\B021_1.mat,B021_1.mat,DE,12000.0,3.0,滚动体,,,0.021,1.0,1774,0.00019340878224315605,0.11478321293979676,0.11478337588579532,3.596109121082538,0.0391765155488349,1.314185954500806,11.449270805629261
12kHz_DE_data\B\0021\B021_1.mat,B021_1.mat,FE,12000.0,3.0,滚动体,,,0.021,1.0,1774,7.136769632256426e-05,0.07788886852766896,0.07788890122391366,0.4841217782199658,-0.04052772924554646,0.6216379505360006,7.981085119546449
12kHz_DE_data\B\0021\B021_1.mat,B021_1.mat,BA,12000.0,3.0,滚动体,,,0.021,1.0,1774,-0.0002050473422987799,0.03472039693219988,0.03472100239829056,-0.011717310004994097,-0.019591467731803463,0.1468804380780771,4.230305231202327
12kHz_DE_data\B\0021\B021_2.mat,B021_2.mat,DE,12000.0,3.0,滚动体,,,0.021,2.0,1754,0.0003332640259188196,0.10608123481059696,0.10608175829920986,0.24886053855522272,0.014490161563616906,0.5093864565641757,4.801828935823454
12kHz_DE_data\B\0021\B021_2.mat,B021_2.mat,FE,12000.0,3.0,滚动体,,,0.021,2.0,1754,0.00014729658029499591,0.0766718992091668,0.07667204069687462,-0.05427353426072479,-0.031170671696308726,0.3670878649136283,4.787766982294393
12kHz_DE_data\B\0021\B021_2.mat,B021_2.mat,BA,12000.0,3.0,滚动体,,,0.021,2.0,1754,0.00017734868720163934,0.035735182009252686,0.0357356220848507,0.019928388920102957,0.03795006018973953,0.145346393227261,4.067269149034272
12kHz_DE_data\B\0021\B021_3.mat,B021_3.mat,DE,12000.0,3.0,滚动体,,,0.021,3.0,1729,0.00020881335965522321,0.11732391866046388,0.11732410448354727,0.11321122193403577,0.017490657498225023,0.5096462868060957,4.3439179787437885
12kHz_DE_data\B\0021\B021_3.mat,B021_3.mat,FE,12000.0,3.0,滚动体,,,0.021,3.0,1729,-0.0004829241859745089,0.09247155016629602,0.09247281117132322,-0.06486475212778942,-0.04929451566913542,0.36978335399584367,3.998833271227698
12kHz_DE_data\B\0021\B021_3.mat,B021_3.mat,BA,12000.0,3.0,滚动体,,,0.021,3.0,1729,-9.446036024636806e-05,0.042793949668673885,0.042794053921130816,-0.1055083471140601,0.07992455447297672,0.16503435091571805,3.8564785476943917
12kHz_DE_data\B\0028\B028_0_(1797rpm).mat,B028_0_(1797rpm).mat,DE,12000.0,3.0,滚动体,,,0.028,0.0,1797,0.01207210507458175,2.018140669630564,2.0181767757403795,0.8880032255020147,0.05554437565666945,10.735533897191248,5.319421978410616
12kHz_DE_data\B\0028\B028_1_(1772rpm).mat,B028_1_(1772rpm).mat,DE,12000.0,3.0,滚动体,,,0.028,1.0,1772,0.007860565627937272,1.9882989732896614,1.9883145112573897,1.027151246966869,0.04621179419205188,10.64506267731127,5.353812295309076
12kHz_DE_data\B\0028\B028_2_(1750rpm).mat,B028_2_(1750rpm).mat,DE,12000.0,3.0,滚动体,,,0.028,2.0,1750,0.0048886669555743304,2.1333926015976856,2.1333982027779865,0.6602489926373325,0.039408898335839694,9.36090807757224,4.387792239340509
12kHz_DE_data\B\0028\B028_3_(1730rpm).mat,B028_3_(1730rpm).mat,DE,12000.0,3.0,滚动体,,,0.028,3.0,1730,0.007540872052673643,2.139585426618072,2.139598715308025,0.9975755363433993,0.043065685127600804,11.01291555285823,5.147187402041774
12kHz_DE_data\IR\0007\IR007_0.mat,IR007_0.mat,DE,12000.0,3.0,内圈,,,0.007,0.0,1797,0.0009141583799716935,0.29195300828408705,0.29195443947929933,2.3255811561736515,0.15097639476408806,1.689201470496849,5.785839302562206
12kHz_DE_data\IR\0007\IR007_0.mat,IR007_0.mat,FE,12000.0,3.0,内圈,,,0.007,0.0,1797,-0.0005498787644848298,0.2438894039653848,0.24389002384937009,0.320438515875475,-0.2133449858607602,1.1319955140170102,4.641417865931845
12kHz_DE_data\IR\0007\IR007_0.mat,IR007_0.mat,BA,12000.0,3.0,内圈,,,0.007,0.0,1797,9.067463888403693e-05,0.09064310216037005,0.09064314751345201,0.04573476830272716,0.0885823320465549,0.3560791952323559,3.928363091975723
12kHz_DE_data\IR\0007\IR007_1.mat,IR007_1.mat,DE,12000.0,3.0,内圈,,,0.007,1.0,1772,0.0002019513622406703,0.291363663823724,0.2913637338124578,2.534261635384807,0.13643377976117532,1.5709568166350283,5.39173766096163
12kHz_DE_data\IR\0007\IR007_1.mat,IR007_1.mat,FE,12000.0,3.0,内圈,,,0.007,1.0,1772,-0.0005851055605658574,0.23831835124892703,0.2383190695066678,0.28841144536260765,-0.14251612109859485,1.069434276671677,4.487405388437687
12kHz_DE_data\IR\0007\IR007_1.mat,IR007_1.mat,BA,12000.0,3.0,内圈,,,0.007,1.0,1772,-0.00026797796062171897,0.09587516600854325,0.09587554051661511,0.08729479422870456,0.028717229144126697,0.36721079008722907,3.8300779125578113
12kHz_DE_data\IR\0007\IR007_2.mat,IR007_2.mat,DE,12000.0,3.0,内圈,,,0.007,2.0,1748,0.0002198186916893413,0.29884757654223604,0.2988476573865435,2.5582286750479835,0.09055767114382082,1.635068278800361,5.471243419136083
12kHz_DE_data\IR\0007\IR007_2.mat,IR007_2.mat,FE,12000.0,3.0,内圈,,,0.007,2.0,1748,0.0006955289228301926,0.23122871773449416,0.23122976379700966,0.10815046947348828,0.029286465916268888,0.879226933299392,3.8023951539008687
12kHz_DE_data\IR\0007\IR007_2.mat,IR007_2.mat,BA,12000.0,3.0,内圈,,,0.007,2.0,1748,0.00045084279642929715,0.09599631979041282,0.095997378466968,0.32288790836718917,-0.0024175098952618746,0.36252801315807126,3.7764365959515707
12kHz_DE_data\IR\0007\IR007_3.mat,IR007_3.mat,DE,12000.0,3.0,内圈,,,0.007,3.0,1721,-0.00021957121279466492,0.31029675713652255,0.31029683482265746,2.2364055980573223,-0.00958423591496196,1.4823907723760237,4.777331271275286
12kHz_DE_data\IR\0007\IR007_3.mat,IR007_3.mat,FE,12000.0,3.0,内圈,,,0.007,3.0,1721,0.0003816360533197872,0.2242975429170743,0.22429786758842352,0.2202897285700507,-0.20814195675665834,1.1155234116739527,4.973401770010975
12kHz_DE_data\IR\0007\IR007_3.mat,IR007_3.mat,BA,12000.0,3.0,内圈,,,0.007,3.0,1721,0.0004694096158958677,0.09717542220666868,0.0971765559506603,0.29614528718353306,-0.1266827054892767,0.37231975873227435,3.8313742969169766
12kHz_DE_data\IR\0014\IR014_0.mat,IR014_0.mat,DE,12000.0,3.0,内圈,,,0.014,0.0,1796,0.0064715695989034545,0.19334327990701,0.19345155749766885,19.375506652593028,-0.055274894520046185,2.0452177083818017,10.572247310060801
12kHz_DE_data\IR\0014\IR014_0.mat,IR014_0.mat,FE,12000.0,3.0,内圈,,,0.014,0.0,1796,0.0002771004988396605,0.11746048422933074,0.11746081108214482,0.7003560606416914,0.003346582818041101,0.6867031008142916,5.846231560022636
12kHz_DE_data\IR\0014\IR014_0.mat,IR014_0.mat,BA,12000.0,3.0,内圈,,,0.014,0.0,1796,0.00017214274760475492,0.057911176733234884,0.057911432582466116,0.44945277025267627,0.05153939345421928,0.303724193770694,5.244632712861826
12kHz_DE_data\IR\0014\IR014_1.mat,IR014_1.mat,DE,12000.0,3.0,内圈,,,0.014,1.0,1774,0.0005939015666757331,0.1677869666115137,0.1677880177002044,17.42738716505487,0.007557607575256552,1.764995897001362,10.519201079989944
12kHz_DE_data\IR\0014\IR014_1.mat,IR014_1.mat,FE,12000.0,3.0,内圈,,,0.014,1.0,1774,-0.0004752506980512108,0.097441952955049,0.09744311191110422,0.866047171540619,0.013865366196635032,0.6990292201930007,7.173716094275743
12kHz_DE_data\IR\0014\IR014_1.mat,IR014_1.mat,BA,12000.0,3.0,内圈,,,0.014,1.0,1774,-0.00039541927125617403,0.04453897307479937,0.044540728316427254,0.1467056142960237,0.019975948369549662,0.22299565388055392,5.006556073720733
12kHz_DE_data\IR\0014\IR014_2.mat,IR014_2.mat,DE,12000.0,3.0,内圈,,,0.014,2.0,1752,-0.0003659157211019006,0.16240483207128306,0.16240524429468586,19.548235180313156,0.05902992085521829,1.6917061825651913,10.416573614430666
12kHz_DE_data\IR\0014\IR014_2.mat,IR014_2.mat,FE,12000.0,3.0,内圈,,,0.014,2.0,1752,-0.00022948150460666274,0.09294578878502385,0.09294607207747523,1.4461628189745355,-0.029578097062513308,0.7131816484743035,7.673069259772815
12kHz_DE_data\IR\0014\IR014_2.mat,IR014_2.mat,BA,12000.0,3.0,内圈,,,0.014,2.0,1752,6.064476780398097e-05,0.044967820303707336,0.04496786119724147,0.17818093744130525,0.05359504960950583,0.21904289034594482,4.87109870280826
12kHz_DE_data\IR\0014\IR014_3.mat,IR014_3.mat,DE,12000.0,3.0,内圈,,,0.014,3.0,1728,2.7519755227166753e-05,0.18230304870356434,0.18230305078070164,14.403473390991639,0.03228102570275032,1.8940672325219159,10.389662841135621
12kHz_DE_data\IR\0014\IR014_3.mat,IR014_3.mat,FE,12000.0,3.0,内圈,,,0.014,3.0,1728,5.100472018232629e-05,0.09749255850207435,0.09749257184402241,1.5405632150018764,-0.016428172179787568,0.7239939613404236,7.426144860541127
12kHz_DE_data\IR\0014\IR014_3.mat,IR014_3.mat,BA,12000.0,3.0,内圈,,,0.014,3.0,1728,9.943506743371726e-05,0.060301110470549,0.06030119245349954,0.018927246729815383,0.13170878147002213,0.27046832397940207,4.485289808953117
12kHz_DE_data\IR\0021\IR021_0.mat,IR021_0.mat,DE,12000.0,3.0,内圈,,,0.021,0.0,1797,0.0031284174590122445,0.5207080133620755,0.5207174110544771,4.936078329742853,0.30806965782397866,3.732420475930957,7.167842666087602
12kHz_DE_data\IR\0021\IR021_0.mat,IR021_0.mat,FE,12000.0,3.0,内圈,,,0.021,0.0,1797,0.0012077132614412925,0.22779949539807406,0.22780269681226126,0.5077687231813091,0.01750314910046749,1.0837131512412392,4.757244608628836
12kHz_DE_data\IR\0021\IR021_0.mat,IR021_0.mat,BA,12000.0,3.0,内圈,,,0.021,0.0,1797,-0.00015878508410238182,0.09319082188562923,0.09319095716013438,0.8399905338115676,0.16084798782204532,0.40969215455981456,4.396265121044109
12kHz_DE_data\IR\0021\IR021_1.mat,IR021_1.mat,DE,12000.0,3.0,内圈,,,0.021,1.0,1774,-0.00034054088596593285,0.43502703030234297,0.4350271635907011,4.536213330228617,0.2824817122966295,3.683016927175134,8.466176908990287
12kHz_DE_data\IR\0021\IR021_1.mat,IR021_1.mat,FE,12000.0,3.0,内圈,,,0.021,1.0,1774,0.00017513174297019952,0.17343134367621174,0.17343143210059608,0.756767899871527,0.06257094179882658,0.8910538993176358,5.137787819227569
12kHz_DE_data\IR\0021\IR021_1.mat,IR021_1.mat,BA,12000.0,3.0,内圈,,,0.021,1.0,1774,5.554698240379878e-05,0.07246825527959008,0.07246827656799276,1.00733434191699,0.1666822756931967,0.38502184569654824,5.312970915422622
12kHz_DE_data\IR\0021\IR021_2.mat,IR021_2.mat,DE,12000.0,3.0,内圈,,,0.021,2.0,1752,0.0005535425984597788,0.46965866650196475,0.4696589927062102,4.883495423653023,0.25758578982164004,3.2302488583835562,6.877860125216854
12kHz_DE_data\IR\0021\IR021_2.mat,IR021_2.mat,FE,12000.0,3.0,内圈,,,0.021,2.0,1752,0.0008751042043359213,0.16914283664467206,0.16914510041847108,1.0113872122219014,0.045517630413541656,0.9785889249619115,5.785499683649406
12kHz_DE_data\IR\0021\IR021_2.mat,IR021_2.mat,BA,12000.0,3.0,内圈,,,0.021,2.0,1752,-0.00027719133152803504,0.07067702198029091,0.07067756554265858,0.939007729701451,0.1686594355898509,0.4131377146625373,5.845386884656934
12kHz_DE_data\IR\0021\IR021_3.mat,IR021_3.mat,DE,12000.0,3.0,内圈,,,0.021,3.0,1728,0.000247069634364054,0.4434411534250355,0.44344122225423527,5.567652189413014,0.2932793079046913,3.067990443788833,6.9185954977137465
12kHz_DE_data\IR\0021\IR021_3.mat,IR021_3.mat,FE,12000.0,3.0,内圈,,,0.021,3.0,1728,0.0007657417350617606,0.16464292692704435,0.1646447076207094,0.9491100290412016,0.07095940807219726,0.8335838115330416,5.062925031598109
12kHz_DE_data\IR\0021\IR021_3.mat,IR021_3.mat,BA,12000.0,3.0,内圈,,,0.021,3.0,1728,-0.00018121168915429968,0.07273870348331711,0.0727389292065137,0.8669609511302707,0.20162469994286783,0.36517382748987637,5.020335485735682
12kHz_DE_data\IR\0028\IR028_0_(1797rpm).mat,IR028_0_(1797rpm).mat,DE,12000.0,3.0,内圈,,,0.028,0.0,1797,0.0003485736002266214,0.8373281351164183,0.8373282076707399,0.3720591939504656,0.11646972821314319,4.424253772625226,5.283774907013479
12kHz_DE_data\IR\0028\IR028_1_(1772rpm).mat,IR028_1_(1772rpm).mat,DE,12000.0,3.0,内圈,,,0.028,1.0,1772,-0.00020793093810065791,0.8368303352943879,0.8368303611271478,0.1673393916226975,0.10387097201574721,3.7670320564313435,4.50154802146212
12kHz_DE_data\IR\0028\IR028_2_(1750rpm).mat,IR028_2_(1750rpm).mat,DE,12000.0,3.0,内圈,,,0.028,2.0,1750,0.0008321337853931725,0.8382842642486051,0.8382846772627196,0.23080147826739328,0.15281570818598728,4.198644544545163,5.0086142075925135
12kHz_DE_data\IR\0028\IR028_3_(1730rpm).mat,IR028_3_(1730rpm).mat,DE,12000.0,3.0,内圈,,,0.028,3.0,1730,3.2751924362924405e-05,0.8241598512194989,0.8241598518702759,0.3017392964394232,0.16872623524296845,3.6959227225688074,4.484473144598836
12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR007@6_0.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1796,0.006361091573769313,0.6675070109011263,0.6675373196220314,4.590987040786991,0.05475504748795974,3.469183813172239,5.196988559585758
12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR007@6_0.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1796,-0.0003390693950530719,0.2547329803926062,0.2547332060563651,0.5500847474339636,0.05082200195720507,1.0676353237384875,4.191190227089006
12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR007@6_0.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.007,,1796,-0.0006303552996828477,0.07696780884747277,0.07697039006387422,1.092579588019233,0.1523190800018435,0.38977343076362087,5.0639399181966676
12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR007@6_1.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1773,-0.0006190649258674122,0.5885922933371442,0.5885926188946489,4.582546553427438,0.03574576121869976,3.0919525188094394,5.253128258074304
12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR007@6_1.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1773,-0.0012155183399281274,0.25611350858187976,0.2561163929992676,0.45109405824879634,0.06614792385139265,1.0339463667105768,4.037017523956514
12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR007@6_1.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.007,,1773,-3.2991396368326364e-06,0.06872555271777038,0.06872555279695725,1.0058472530771736,0.16676562350134863,0.32282551004928506,4.697314127149194
12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR007@6_2.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1750,-7.977724250042224e-05,0.5683296926256599,0.5683296982248819,4.833160532546163,0.0224238457663382,3.0861188404715976,5.4301558586693
12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR007@6_2.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1750,-0.0001285047784741428,0.2220539710587812,0.22205400824225652,0.651513741644274,0.023717493938699413,0.9120968196269589,4.107544947497094
12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR007@6_2.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.007,,1750,0.00012751310181040293,0.06985887526975507,0.06985899164421376,1.1612849069001996,0.17340690740655562,0.3541152720137788,5.069000620811412
12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR007@6_3.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1725,0.0005390091131485782,0.5792249106068269,0.5792251613995292,4.992616556806176,-0.006026803630211778,3.1796055510015937,5.489411998814074
12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR007@6_3.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.007,,1725,-0.00019696049660270282,0.2587902987810581,0.2587903737325377,0.6468053556668281,0.07021872220851558,1.0397403958670337,4.017693474725668
12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR007@6_3.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.007,,1725,0.0001714988531230282,0.07284562194453635,0.07284582382225449,1.0502213007294134,0.1173363883176979,0.3726466915039638,5.11555325962447
12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR014@6_0.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1796,-0.0025776976795208882,0.1000514445663965,0.10008464460220519,0.02424949196751669,0.015166482511999091,0.4130151146755288,4.126658153376995
12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR014@6_0.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1796,-0.00015997407285433905,0.1445668735960976,0.14456696210771688,-0.5102953198976108,-0.010172558404895084,0.5117224811796709,3.539691736749551
12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR014@6_0.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.014,,1796,-6.139969468781782e-05,0.03836590005959971,0.038365949190730324,-0.0738210107626478,0.05052420927836711,0.18107231738014776,4.719609997917034
12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR014@6_1.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1772,2.8602419827274424e-05,0.09429637137860501,0.09429637571651532,-0.07617795284836282,0.017317505949878277,0.404012538667997,4.284496997875998
12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR014@6_1.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1772,0.0008231043406852953,0.10178097372870769,0.10178430190318907,-0.21449743276817435,0.0049999818449805835,0.37725047510375914,3.706371886920013
12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR014@6_1.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.014,,1772,0.0005392324079690134,0.03106781626860607,0.031072495543320432,-0.09008450311299177,0.05325262931049297,0.12994846872844382,4.1821059575750255
12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR014@6_2.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1749,6.938602263244251e-05,0.09752270363975561,0.09752272832333876,-0.003854640739629822,-0.005000937688361601,0.3672597452541694,3.76588874786718
12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR014@6_2.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1749,9.26976442030215e-06,0.09318239478484942,0.0931823952459265,-0.162187554791009,0.03270836591821774,0.3603238518517413,3.866866170383112
12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR014@6_2.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.014,,1749,0.00021775600586756733,0.030365323499855348,0.030366104276461917,-0.06363132783219916,0.05612709002072111,0.12047350125427092,3.9673676991109836
12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR014@6_3.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1723,2.2023868571600337e-05,0.09846010190956492,0.09846010437274934,0.7065278562562831,-0.006971248538921503,0.6329130506024863,6.428116795472915
12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR014@6_3.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.014,,1723,-0.0008201038203687671,0.09932887938168816,0.09933226489664948,0.060533286934715935,0.0260158343575294,0.4531337346644797,4.56179807372704
12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR014@6_3.mat,BA,12000.0,3.0,外圈,6点位(Centered),,0.014,,1723,-0.00017247619028332145,0.037155578366194514,0.03715597868126524,-0.12973189404071617,-0.05820428028418461,0.14696827364824575,3.9554407894616967
12kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,OR021@6_0.mat,DE,12000.0,3.0,外圈,6点位(Centered),,0.021,,1796,0.0008463809355588043,0.5865397004617807,0.5865403111283006,17.256464094380206,0.10175602612599946,6.648205816619745,11.334610239884276
12kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,OR021@6_0.mat,FE,12000.0,3.0,外圈,6点位(Centered),,0.021,,1796,0.0005877450727621581,0.20043682406166669,0.20043768578837187,7.453605089238714,0.14228724641513224,1.8418464824019851,9.189122670008583
